soak start 2026-09-22T01:39:25+08:00 for 2h
iter=91 rc=0 mem=0 MB 2026-09-22T01:54:35+08:00
iter=92 rc=0 mem=0 MB 2026-09-22T01:54:44+08:00
iter=93 rc=0 mem=0 MB 2026-09-22T01:54:53+08:00
iter=94 rc=0 mem=0 MB 2026-09-22T01:55:03+08:00
iter=95 rc=0 mem=0 MB 2026-09-22T01:55:16+08:00
iter=96 rc=0 mem=0 MB 2026-09-22T01:55:26+08:00
iter=97 rc=0 mem=0 MB 2026-09-22T01:55:35+08:00
iter=98 rc=0 mem=0 MB 2026-09-22T01:55:44+08:00
iter=99 rc=0 mem=0 MB 2026-09-22T01:55:53+08:00
iter=100 rc=0 mem=0 MB 2026-09-22T01:56:08+08:00
iter=101 rc=0 mem=0 MB 2026-09-22T01:56:17+08:00
iter=102 rc=0 mem=0 MB 2026-09-22T01:56:27+08:00
iter=103 rc=0 mem=0 MB 2026-09-22T01:56:39+08:00
iter=104 rc=0 mem=0 MB 2026-09-22T01:56:48+08:00
iter=105 rc=0 mem=0 MB 2026-09-22T01:56:57+08:00
iter=106 rc=0 mem=0 MB 2026-09-22T01:57:07+08:00
iter=107 rc=0 mem=0 MB 2026-09-22T01:57:17+08:00
iter=108 rc=0 mem=0 MB 2026-09-22T01:57:26+08:00
iter=109 rc=0 mem=0 MB 2026-09-22T01:57:37+08:00
iter=110 rc=0 mem=0 MB 2026-09-22T01:57:47+08:00
iter=111 rc=0 mem=0 MB 2026-09-22T01:57:57+08:00
iter=112 rc=0 mem=0 MB 2026-09-22T01:58:07+08:00
iter=113 rc=0 mem=0 MB 2026-09-22T01:58:16+08:00
iter=114 rc=0 mem=0 MB 2026-09-22T01:58:26+08:00
iter=115 rc=0 mem=0 MB 2026-09-22T01:58:35+08:00
iter=116 rc=0 mem=0 MB 2026-09-22T01:58:48+08:00
iter=117 rc=0 mem=0 MB 2026-09-22T01:58:58+08:00
iter=118 rc=0 mem=0 MB 2026-09-22T01:59:11+08:00
iter=119 rc=0 mem=0 MB 2026-09-22T01:59:20+08:00
iter=120 rc=0 mem=0 MB 2026-09-22T01:59:30+08:00
iter=121 rc=0 mem=0 MB 2026-09-22T01:59:41+08:00
iter=122 rc=0 mem=0 MB 2026-09-22T01:59:50+08:00
iter=123 rc=0 mem=0 MB 2026-09-22T02:00:00+08:00
iter=124 rc=0 mem=0 MB 2026-09-22T02:00:09+08:00
iter=125 rc=0 mem=0 MB 2026-09-22T02:00:19+08:00
iter=126 rc=0 mem=0 MB 2026-09-22T02:00:28+08:00
iter=127 rc=0 mem=0 MB 2026-09-22T02:00:40+08:00
iter=128 rc=0 mem=0 MB 2026-09-22T02:00:50+08:00
iter=129 rc=0 mem=0 MB 2026-09-22T02:00:59+08:00
iter=130 rc=0 mem=0 MB 2026-09-22T02:01:09+08:00
iter=131 rc=0 mem=0 MB 2026-09-22T02:01:18+08:00
iter=132 rc=0 mem=0 MB 2026-09-22T02:01:28+08:00
iter=133 rc=0 mem=0 MB 2026-09-22T02:01:42+08:00
iter=134 rc=0 mem=0 MB 2026-09-22T02:01:55+08:00
iter=135 rc=0 mem=0 MB 2026-09-22T02:02:04+08:00
iter=136 rc=0 mem=0 MB 2026-09-22T02:02:15+08:00
iter=137 rc=0 mem=0 MB 2026-09-22T02:02:25+08:00
